Student_ID,Name,Email,Preferred_Domain,JEE_Score,Admission_Enquiry
STU00001,Simon Pradhan,simon.pradhan@college.edu,Aeronautical_Engineering,229,BTech
STU00002,Oni Chada,oni.chada@college.edu,Data_Science,142,MTech
STU00003,Hema Luthra,hema.luthra@college.edu,Mechanical,56,BTech
STU00004,Vedhika Swamy,vedhika.swamy@college.edu,Aeronautical_Engineering,36,BTech
STU00005,Harshil Venkatesh,harshil.venkatesh@college.edu,IT,39,BTech
STU00006,Pallavi Shroff,pallavi.shroff@college.edu,Computer_Science,291,MTech
STU00007,Waida Edwin,waida.edwin@college.edu,Electronics,72,BTech
STU00008,Meera Kakar,meera.kakar@college.edu,IT,130,BTech
STU00009,Abha Sarraf,abha.sarraf@college.edu,Aeronautical_Engineering,143,BTech
STU00010,Mitesh Soman,mitesh.soman@college.edu,AI_ML,30,BTech
STU00011,Mohammed Bhatt,mohammed.bhatt@college.edu,AI_ML,51,MTech
STU00012,Indrajit Seth,indrajit.seth@college.edu,Computer_Science,145,BTech
STU00013,Nachiket Varkey,nachiket.varkey@college.edu,Data_Science,93,BTech
STU00014,Amruta Chacko,amruta.chacko@college.edu,Cyber_Security,148,BTech
STU00015,Jagdish Swaminathan,jagdish.swaminathan@college.edu,Mechanical,158,BTech
STU00016,Banjeet Brahmbhatt,banjeet.brahmbhatt@college.edu,Aeronautical_Engineering,59,MTech
STU00017,Balendra Munshi,balendra.munshi@college.edu,AI_ML,149,BTech
STU00018,Krisha Narain,krisha.narain@college.edu,Computer_Science,94,MTech
STU00019,Ekavir Bhatia,ekavir.bhatia@college.edu,Aeronautical_Engineering,39,BTech
STU00020,Atharv Ben,atharv.ben@college.edu,Civil_Engineering,75,MTech
STU00021,Janaki Mannan,janaki.mannan@college.edu,Cyber_Security,137,BTech
STU00022,Charles Varma,charles.varma@college.edu,IT,34,BTech
STU00023,Charvi Minhas,charvi.minhas@college.edu,Cyber_Security,117,BTech
STU00024,Zaid Rana,zaid.rana@college.edu,Electronics,234,BTech
STU00025,Omkaar Ghosh,omkaar.ghosh@college.edu,IT,88,BTech
STU00026,Ekavir Vig,ekavir.vig@college.edu,Cyber_Security,36,BTech
STU00027,Champak Mishra,champak.mishra@college.edu,Cyber_Security,72,MTech
STU00028,Kavya Kapoor,kavya.kapoor@college.edu,Mechanical,148,BTech
STU00029,Kashish Chad,kashish.chad@college.edu,Aeronautical_Engineering,136,BTech
STU00030,Vrishti Dubey,vrishti.dubey@college.edu,Data_Science,174,BTech
STU00031,Kashvi Sarna,kashvi.sarna@college.edu,Cyber_Security,115,MTech
STU00032,Warhi Subramaniam,warhi.subramaniam@college.edu,Data_Science,112,BTech
STU00033,Yauvani Kuruvilla,yauvani.kuruvilla@college.edu,Civil_Engineering,151,BTech
STU00034,Viraj Joshi,viraj.joshi@college.edu,Aeronautical_Engineering,272,BTech
STU00035,Dev Setty,dev.setty@college.edu,AI_ML,68,BTech
STU00036,Atharv Nanda,atharv.nanda@college.edu,Electronics,108,BTech
STU00037,Megha Sarna,megha.sarna@college.edu,Civil_Engineering,49,MTech
STU00038,Faqid Khalsa,faqid.khalsa@college.edu,Mechanical,110,BTech
STU00039,Jason Chatterjee,jason.chatterjee@college.edu,Civil_Engineering,57,MTech
STU00040,Jackson Saraf,jackson.saraf@college.edu,Aeronautical_Engineering,163,BTech
STU00041,Ijaya Narayanan,ijaya.narayanan@college.edu,Cyber_Security,68,BTech
STU00042,Bahadurjit Bumb,bahadurjit.bumb@college.edu,Computer_Science,91,BTech
STU00043,Waida Hora,waida.hora@college.edu,Aeronautical_Engineering,275,BTech
